$ python tools/unitytex17.py list Monstrum/Monstrum_Data
NAME                                         W     H FORMAT   MIPS       BYTES CLOSE ARITH  WHERE
                                            64    64 ARGB32      1       16384 yes   yes    inline
Upd_Rec_TelevisionBase02_02_Dif           1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+48517388
ProGen_Upd_Rm_Default06_Dif               2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+49915516
TELEVISIONSCREEN2                         1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+55507948
ProGen_Upd_Rm_Default06_Norm              2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+56906076
Menu_Loading_HintBackground07_01_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+62498508
Misc_Wood02_01_Norm                       1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+68719308
Menu_Options_Controls01_01_Dif            2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+70117436
BlackDeath                                 512   288 DXT1        1       73728 yes   yes    sharedassets1.assets.resS+75709868
Upd_Rm_Radiator_01_Nor                    1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+75783596
Upd_Cor_Door_02_Norm                      2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+77181724
TELEVISIONSCREEN                          1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+82774156
Misc_Fabric01_01_Dif                      1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+84172284
Misc_Metal04_01_Dif                       1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+85570412
Untitled                                  1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+86968540
VignetteMask                               128   128 DXT5        8       21872 yes   yes    sharedassets1.assets.resS+93189340
ProGen_Upd_Cor_04Dif                      2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+93211212
Upd_Bunk_Clock_01_01_Norm                 1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+98803644
Upd_Misc_Mug_02_Norm                      1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+100201772
Upd_Rec_TelevisionBase02_02_Norm          1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+101599900
Upd_Security_SecurityMonitorScreen_01_Di  1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+102998028
ProGen_Upd_Rm_Window_01_Norm              1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+104396156
RandomVectors                               64    64 RGB24       1       12288 yes   yes    sharedassets1.assets.resS+105794284
TELEVISIONSCREEN3                         1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+105806572
Upd_Rm_DeskLamp02_01_Dif                   512   512 DXT5       10      349552 yes   yes    sharedassets1.assets.resS+107204700
Upd_Bunk_Clock_01_03_Dirty_Dif            1024  1024 DXT1       11      699064 yes   yes    sharedassets1.assets.resS+107554252
Menu_Options_Graphics01_01_Dif            2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+108253316
Upd_Bunk_Box02_02_Dif                      512   512 DXT5       10      349552 yes   yes    sharedassets1.assets.resS+113845748
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
Upd_Rm_WallCabinet01_01_Norm              1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+114195300
Upd_Misc_Bottle_01_01_Dif_Kokos_Ditry     1024  1024 DXT1       11      699064 yes   yes    sharedassets1.assets.resS+115593428
Menu_Options_Controller01_02_Dif          1024   898 RGBA32      1     3678208 yes   yes    sharedassets1.assets.resS+116292492
Upd_Security_SecurityTables_01_Dif        1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+119970700
Menu_Loading_HintBackground06_02_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+121368828
Upd_Cor_Door_02_Dif                       2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+127589628
ProGen_Upd_Rm_Wood_02_Dif                 2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+133182060
Menu_Options_Main01_01_Dif                2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+138774492
Upd_Misc_Book01_01_and_02_Norm            1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+144366924
Upd_Rm_DeskLamp02_01_Norm                  512   512 DXT5       10      349552 yes   yes    sharedassets1.assets.resS+145765052
Menu_Loading_HintBackground03_01_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+146114604
Menu_Loading_HintBackground04_01_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+152335404
Menu_Options_PaperNormals01_02_Norm       2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+158556204
Upd_Misc_Book01_03_Dif                    1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+164148636
Upd_Misc_A4_Papers_01_Dirty_Dif           1024  1024 DXT1       11      699064 yes   yes    sharedassets1.assets.resS+165546764
Misc_Wood02_01_Dif                        1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+166245828
Upd_Security_SecurityTables_01_Norm       1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+167643956
Upd_Misc_Bottle_01_01_Gloss               1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+169042084
Upd_Security_SecurityMonitors_01_Norm     1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+170440212
Noise                                       64    64 RGB24       1       12288 yes   yes    sharedassets1.assets.resS+171838340
Menu_Loading_HintBackground02_01_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+171850628
Misc_Wood04_01_Normal                      256   256 DXT5        9       87408 yes   yes    sharedassets1.assets.resS+178071428
Win                                       1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+178158836
Menu_Loading_Bar01_01_Dif                  460    24 RGB24       1       33120 yes   yes    sharedassets1.assets.resS+184379636
Menu_Options_DownArrow01_01_Dif             64    64 RGBA32      1       16384 yes   yes    sharedassets1.assets.resS+184412756
Upd_Misc_SmallNotes_01_Dirty_Dif          1024  1024 DXT1       11      699064 yes   yes    sharedassets1.assets.resS+184429140
Upd_Rm_WallCabinet01_01_Dif               2048  2048 DXT5       12     5592432 yes   yes    sharedassets1.assets.resS+185128204
Upd_Misc_MiniDragonhead01_01_Norm          512   512 DXT5       10      349552 yes   yes    sharedassets1.assets.resS+190720636
